time,RSSIDB,RSSIDC,DistDB,DistDC,DistBC,flying,Pos
1717504971 , 65 , 54 , 0.630957 , 2.238721 , 2.869678 , 1 , -1.434839 
1717504976 , 62 , 52 , 0.446683 , 1.778279 , 2.224963 , 1 , -1.112482 
1717504981 , 60 , 53 , 0.354813 , 1.995262 , 2.350076 , 1 , -1.175038 
1717504985 , 65 , 51 , 0.630957 , 1.584893 , 2.215851 , 1 , -1.107925 
1717504989 , 62 , 50 , 0.446683 , 1.412538 , 1.859221 , 1 , -0.929610 
1717504995 , 56 , 54 , 0.223872 , 2.238721 , 2.462593 , 1 , -1.231297 
1717504999 , 59 , 58 , 0.316227 , 3.548134 , 3.864362 , 1 , -1.932181 
1717505003 , 59 , 58 , 0.316227 , 3.548134 , 3.864362 , 1 , -1.932181 
1717505009 , 65 , 56 , 0.630957 , 2.818383 , 3.449340 , 1 , -1.724670 
1717505014 , 62 , 54 , 0.446683 , 2.238721 , 2.685405 , 1 , -1.342702 
1717505018 , 62 , 55 , 0.446683 , 2.511886 , 2.958570 , 1 , -1.479285 
1717505023 , 60 , 59 , 0.354813 , 3.981072 , 4.335885 , 1 , -2.167943 
1717505028 , 62 , 66 , 0.446683 , 8.912509 , 9.359193 , 1 , -4.679596 
1717505033 , 66 , 63 , 0.707945 , 6.309573 , 7.017519 , 1 , -3.508760 
1717505038 , 71 , 60 , 1.258925 , 4.466836 , 5.725761 , 1 , -2.862881 
1717505043 , 77 , 49 , 2.511886 , 1.258925 , 3.770812 , 1 , -1.885406 
1717505049 , 68 , 59 , 0.891250 , 3.981072 , 4.872323 , 1 , -2.436161 
1717505054 , 62 , 61 , 0.446683 , 5.011872 , 5.458556 , 1 , -2.729278 
1717505059 , 74 , 73 , 1.778279 , 19.952623 , 21.730903 , 1 , -10.865451 
1717505064 , 65 , 77 , 0.630957 , 31.622777 , 32.253734 , 1 , -16.126867 
1717505070 , 84 , 64 , 5.623413 , 7.079458 , 12.702871 , 1 , -6.351436 
1717505075 , 79 , 77 , 3.162278 , 31.622777 , 34.785054 , 1 , -17.392527 
1717505079 , 71 , 71 , 1.258925 , 15.848932 , 17.107857 , 1 , -8.553929 
1717505085 , 72 , 63 , 1.412538 , 6.309573 , 7.722111 , 1 , -3.861055 
1717505090 , 76 , 55 , 2.238721 , 2.511886 , 4.750608 , 1 , -2.375304 
1717505095 , 67 , 64 , 0.794328 , 7.079458 , 7.873786 , 1 , -3.936893 
1717505099 , 65 , 66 , 0.630957 , 8.912509 , 9.543467 , 1 , -4.771733 
1717505103 , 71 , 58 , 1.258925 , 3.548134 , 4.807059 , 1 , -2.403530 
1717505109 , 81 , 70 , 3.981072 , 14.125375 , 18.106447 , 1 , -9.053224 
1717505113 , 65 , 75 , 0.630957 , 25.118864 , 25.749822 , 1 , -12.874911 
1717505119 , 87 , 65 , 7.943282 , 7.943282 , 15.886565 , 1 , -7.943282 
1717505124 , 76 , 64 , 2.238721 , 7.079458 , 9.318179 , 1 , -4.659089 
1717505129 , 80 , 55 , 3.548134 , 2.511886 , 6.060020 , 1 , -3.030010 
