time,RSSIBD,RSSIDC,DistDB,DistDC,DistBC,flying,movement
1717602809 , 59 , 1 , 0.446683 , 0.001995 , 0.448678 , 0 , 0.000000 
1717602813 , 59 , 1 , 0.446683 , 0.001995 , 0.448678 , 0 , 0.000000 
1717602819 , 57 , 1 , 0.354813 , 0.001995 , 0.356808 , 0 , 0.000000 
1717602823 , 59 , 1 , 0.446683 , 0.001995 , 0.448678 , 0 , 0.000000 
1717602828 , 59 , 1 , 0.446683 , 0.001995 , 0.448678 , 0 , 0.000000 
1717602833 , 60 , 47 , 0.501187 , 0.398107 , 0.899294 , 1 , 1.000000 
1717602838 , 59 , 46 , 0.446683 , 0.354813 , 0.801497 , 1 , 2.000000 
1717602843 , 65 , 49 , 0.891250 , 0.501187 , 1.392438 , 1 , 3.000000 
1717602848 , 72 , 47 , 1.995262 , 0.398107 , 2.393369 , 1 , 4.000000 
1717602852 , 76 , 56 , 3.162278 , 1.122018 , 4.284296 , 1 , 5.000000 
1717602857 , 89 , 50 , 14.125375 , 0.562341 , 14.687717 , 1 , 6.000000 
1717602862 , 90 , 69 , 15.848932 , 5.011872 , 20.860804 , 1 , 7.000000 
1717602872 , 91 , 65 , 17.782794 , 3.162278 , 20.945072 , 1 , 8.000000 
1717602877 , 76 , 64 , 3.162278 , 2.818383 , 5.980661 , 1 , 9.000000 
1717602882 , 57 , 63 , 0.354813 , 2.511886 , 2.866700 , 1 , 8.000000 
1717602887 , 84 , 74 , 7.943282 , 8.912509 , 16.855792 , 1 , 9.000000 
1717602893 , 83 , 60 , 7.079458 , 1.778279 , 8.857737 , 1 , 10.000000 
1717602898 , 73 , 57 , 2.238721 , 1.258925 , 3.497647 , 1 , 11.000000 
1717602902 , 80 , 67 , 5.011872 , 3.981072 , 8.992944 , 1 , 12.000000 
1717602908 , 77 , 64 , 3.548134 , 2.818383 , 6.366517 , 1 , 13.000000 
1717602913 , 78 , 65 , 3.981072 , 3.162278 , 7.143349 , 1 , 14.000000 
1717602918 , 81 , 69 , 5.623413 , 5.011872 , 10.635286 , 1 , 15.000000 
1717602924 , 73 , 64 , 2.238721 , 2.818383 , 5.057104 , 1 , 16.000000 
1717602929 , 76 , 61 , 3.162278 , 1.995262 , 5.157540 , 1 , 17.000000 
1717602934 , 76 , 63 , 3.162278 , 2.511886 , 5.674164 , 1 , 18.000000 
1717602939 , 76 , 60 , 3.162278 , 1.778279 , 4.940557 , 1 , 19.000000 
1717602944 , 77 , 60 , 3.548134 , 1.778279 , 5.326413 , 1 , 20.000000 
1717602949 , 73 , 72 , 2.238721 , 7.079458 , 9.318179 , 1 , 21.000000 
1717602954 , 77 , 64 , 3.548134 , 2.818383 , 6.366517 , 1 , 22.000000 
1717602960 , 80 , 62 , 5.011872 , 2.238721 , 7.250593 , 1 , 23.000000 
1717602965 , 79 , 61 , 4.466836 , 1.995262 , 6.462098 , 1 , 24.000000 
1717602970 , 78 , 62 , 3.981072 , 2.238721 , 6.219793 , 1 , 25.000000 
