C,RSSI,relayOn,sent,rec
2,-58,0,2,2,0
3,-60,0,3,3,0
4,-61,0,4,4,0
5,-59,0,5,5,0
6,-60,0,6,6,0
7,-59,0,7,7,0
8,-61,0,8,8,0
9,-60,0,9,9,0
10,-62,0,10,10,0
11,-60,0,11,11,0
12,-62,0,12,12,0
13,-61,0,13,13,0
14,-71,0,14,14,0
15,-75,0,15,15,0
16,-76,0,16,16,0
17,-75,0,17,17,0
18,-76,0,18,18,0
19,-75,0,19,19,0
20,-75,0,20,20,0
21,-78,0,21,21,0
22,-76,0,22,22,0
23,-82,0,23,23,0
24,-81,0,24,24,0
25,-84,0,25,25,0
26,-82,0,26,26,0
27,-83,0,27,27,0
28,-80,0,28,28,0
29,-81,0,29,29,0
30,-77,0,30,30,0
31,-81,0,31,31,0
32,-82,0,32,32,0
33,-82,0,33,33,0
34,-75,0,34,34,0
35,-87,0,35,35,0
36,-83,0,36,36,0
37,-83,0,37,37,0
38,-83,0,38,38,0
39,-88,0,39,39,0
40,-87,0,40,40,0
41,-87,0,41,40,0
42,-87,0,42,42,0
43,-88,0,43,43,0
44,-82,0,44,44,0
45,-82,0,45,45,0
46,-79,0,46,46,0
47,-78,0,47,47,0
48,-80,0,48,48,0
49,-78,0,49,49,0
50,-80,0,50,50,0
51,-77,0,51,51,0
52,-80,0,52,52,0
53,-89,0,53,53,0
54,-79,0,54,54,0
55,-85,0,55,55,0
56,-85,0,56,56,0
57,-84,0,57,57,0
58,-83,0,58,58,0
59,-84,0,59,59,0
60,-84,0,60,60,0
61,-84,0,61,61,0
62,-86,0,62,62,0
63,-87,0,63,63,0
64,-88,0,64,64,0
65,-88,0,65,65,0
66,-89,0,66,66,0
67,-89,0,67,67,0
68,-89,0,68,68,0
69,-88,0,69,69,0
70,-85,0,70,70,0
71,-88,0,71,71,0
72,-86,0,72,72,0
73,-84,0,73,73,0
74,-84,0,74,74,0
75,-84,0,75,74,0
76,-84,0,76,74,0
77,-84,0,77,74,0
78,-84,0,78,74,0
79,-84,0,79,74,0
80,-84,0,80,74,0
81,-84,0,81,74,0
82,-84,0,82,74,0
83,-91,0,83,81,0
84,-92,0,84,82,0
85,-90,0,85,83,0
86,-90,0,86,83,0
87,-90,0,87,83,0
