C,RSSI,relayOn,sent,rec
11,-70,0,11,11,0
12,-67,0,12,12,0
13,-64,0,13,13,0
14,-64,0,14,14,0
15,-64,0,15,15,0
16,-64,1,16,16,0
17,-67,1,17,17,0
18,-66,1,18,18,0
19,-66,1,19,19,0
20,-66,1,20,20,0
21,-66,1,21,21,0
22,-66,1,22,22,0
23,-72,1,23,23,0
24,-72,1,24,24,0
25,-72,1,25,25,0
26,-72,1,26,26,0
27,-70,1,27,27,0
28,-70,1,28,28,0
29,-70,1,29,29,0
30,-70,1,30,30,0
31,-70,1,31,31,0
32,-70,1,32,32,0
33,-70,1,33,33,0
34,-70,1,34,33,0
35,-70,1,35,33,0
36,-70,1,36,33,0
37,-70,0,37,34,0
38,-70,0,38,35,0
39,-70,0,39,36,0
40,-74,0,40,38,0
41,-74,1,41,41,0
42,-75,1,42,42,0
43,-74,1,43,43,0
44,-74,1,44,44,0
45,-74,1,45,45,0
46,-74,1,46,46,0
47,-76,1,47,47,0
48,-76,1,48,48,0
49,-76,1,49,49,0
50,-76,1,50,50,0
51,-76,1,51,51,0
52,-76,1,52,52,0
53,-76,1,53,53,0
54,-76,1,54,54,0
55,-84,1,55,55,0
56,-84,1,56,56,0
57,-84,1,57,57,0
58,-84,1,58,58,0
59,-87,1,59,59,0
60,-87,1,60,60,0
61,-87,1,61,61,0
62,-82,1,62,62,0
63,-82,1,63,63,0
64,-82,1,64,64,0
65,-82,1,65,65,0
66,-82,1,66,66,0
67,-82,1,67,67,0
68,-83,1,68,68,0
69,-83,1,69,69,0
70,-83,1,70,70,0
71,-83,1,71,71,0
72,-83,1,72,72,0
73,-83,1,73,73,0
74,-82,1,74,74,0
75,-82,1,75,75,0
76,-82,1,76,76,0
77,-82,1,77,77,0
78,-82,1,78,78,0
79,-82,1,79,79,0
80,-82,1,80,80,0
81,-82,1,81,81,0
82,-82,1,82,82,0
83,-82,1,83,83,0
84,-82,1,84,84,0
85,-82,1,85,85,0
86,-81,1,86,86,0
87,-81,1,87,87,0
88,-81,1,88,88,0
89,-81,1,89,89,0
