C,RSSI,relayOn,sent,rec
0,-43,0,0,0
1,-42,0,1,1
2,-42,0,2,2
3,-49,0,3,3
4,-57,0,4,4
5,-57,0,5,5
6,-59,0,6,6
7,-57,0,7,7
8,-60,0,8,8
9,-57,0,9,9
10,-64,0,10,10
11,-69,0,11,11
12,-71,0,12,12
13,-85,0,13,13
14,-76,0,14,14
15,-75,0,15,15
16,-75,0,16,16
17,-75,0,17,17
18,-75,0,18,18
19,-75,0,19,19
20,-75,0,20,20
21,-76,0,21,21
22,-71,0,22,22
23,-71,0,23,23
24,-71,0,24,24
25,-71,0,25,25
26,-71,0,26,26
27,-71,0,27,27
28,-71,0,28,28
29,-71,0,29,29
30,-71,0,30,30
31,-71,0,31,31
32,-75,0,32,32
33,-80,0,33,33
34,-83,0,34,34
35,-84,0,35,35
36,-83,0,36,36
37,-83,0,37,37
38,-84,0,38,38
39,-84,0,39,39
40,-82,0,40,40
41,-83,0,41,41
42,-82,0,42,42
43,-77,0,43,43
44,-81,0,44,44
45,-80,0,45,45
46,-77,0,46,46
47,-81,0,47,47
48,-80,0,48,48
49,-76,0,49,49
50,-76,0,50,50
51,-80,0,51,51
52,-80,0,52,52
53,-83,0,53,53
54,-82,0,54,54
55,-81,0,55,55
56,-78,0,56,56
57,-80,0,57,57
58,-81,0,58,58
59,-78,0,59,59
60,-78,0,60,60
61,-77,0,61,61
62,-89,0,62,62
63,-79,0,63,63
64,-80,0,64,64
65,-77,0,65,65
66,-77,0,66,66
67,-75,0,67,67
68,-82,0,68,68
69,-88,0,69,69
70,-83,0,70,70
71,-82,0,71,71
72,-78,0,72,72
73,-89,0,73,73
74,-84,0,74,74
75,-88,0,75,75
76,-84,0,76,76
77,-84,0,77,77
78,-88,0,78,78
79,-84,0,79,79
80,-84,0,80,80
81,-84,0,81,81
82,-83,0,82,82
83,-87,0,83,83
84,-84,0,84,84
85,-85,0,85,85
86,-84,0,86,86
87,-85,0,87,87
88,-84,0,88,88
89,-84,0,89,89
90,-84,0,90,90
91,-85,0,91,91
92,-76,0,92,92
93,-78,0,93,93
94,-89,0,94,94
95,-85,0,95,95
96,-84,0,96,96
97,-84,0,97,97
98,-92,0,98,98
99,-90,0,99,99
100,-84,0,100,100
101,-81,0,101,101
102,-79,0,102,102
103,-90,0,103,103
104,-82,0,104,104
105,-82,0,105,105
106,-82,0,106,106
107,-84,0,107,107
108,-83,0,108,108
109,-84,0,109,109
110,-82,0,110,110
111,-82,0,111,111
112,-80,0,112,112
113,-88,0,113,113
114,-83,0,114,114
115,-83,0,115,115
116,-82,0,116,116
117,-82,0,117,117
118,-80,0,118,118
119,-80,0,119,119
120,-81,0,120,120
121,-80,0,121,121
122,-78,0,122,122
123,-82,0,123,123
124,-82,0,124,124
125,-83,0,125,125
126,-83,0,126,126
127,-82,0,127,127
128,-83,0,128,128
129,-82,0,129,129
130,-82,0,130,130
131,-88,0,131,131
132,-86,0,132,132
133,-88,0,133,133
134,-83,0,134,134
135,-84,0,135,135
136,-84,0,136,136
137,-85,0,137,137
138,-85,0,138,138
139,-82,0,139,139
140,-85,0,140,140
141,-84,0,141,141
142,-82,0,142,142
143,-82,0,143,143
144,-85,0,144,144
145,-82,0,145,145
146,-83,0,146,146
147,-84,0,147,147
148,-86,0,148,148
149,-86,0,149,149
150,-86,0,150,150
151,-78,0,151,151
152,-88,0,152,152
153,-87,0,153,153
154,-85,0,154,154
155,-89,0,155,155
156,-88,0,156,156
157,-86,0,157,157
158,-87,0,158,158
159,-86,0,159,159
160,-86,0,160,160
161,-87,0,161,161
162,-83,0,162,162
163,-88,0,163,163
164,-86,0,164,164
165,-87,0,165,165
166,-87,0,166,166
167,-89,0,167,167
168,-87,0,168,168
169,-87,0,169,169
170,-87,0,170,170
171,-89,0,171,171
172,-87,0,172,172
173,-87,0,173,173
174,-86,0,174,174
175,-85,0,175,175
176,-87,0,176,176
177,-85,0,177,177
178,-85,0,178,178
179,-88,0,179,179
180,-85,0,180,180
181,-91,0,181,181
182,-90,0,182,182
183,-89,0,183,183
184,-83,0,184,184
185,-86,0,185,185
186,-85,0,186,186
187,-84,0,187,187
188,-86,0,188,188
189,-85,0,189,189
190,-82,0,190,190
191,-82,0,191,191
192,-91,0,192,192
193,-86,0,193,193
194,-91,0,194,194
195,-89,0,195,195
196,-90,0,196,196
197,-91,0,197,197
198,-88,0,198,198
199,-89,0,199,199
200,-91,0,200,200
201,-90,0,201,201
202,-90,0,202,201
203,-90,0,203,201
204,-90,0,204,201
205,-90,0,205,201
206,-90,0,206,201
207,-90,0,207,201
208,-90,0,208,201
209,-93,0,209,202
210,-93,0,210,202
211,-93,0,211,202
212,-93,0,212,202
213,-88,0,213,209
214,-88,0,214,209
215,-90,0,215,210
216,-90,0,216,210
217,-90,0,217,210
218,-90,0,218,212
219,-87,0,219,215
220,-89,0,220,216
221,-89,0,221,217
222,-89,0,222,217
223,-89,0,223,217
224,-89,0,224,217
225,-89,0,225,217
226,-89,0,226,217
227,-89,0,227,217
228,-99,0,228,221
229,-94,0,229,224
230,-95,0,230,225
231,-95,0,231,226
232,-95,0,232,227
233,-94,0,233,228
234,-94,0,234,229
235,-97,0,235,230
236,-99,0,236,231
237,-95,0,237,232
238,-98,0,238,233
239,-94,0,239,234
240,-99,0,240,235
