C,RSSI,relayOn,sent,rec
232,-67,1,232,232,0
233,-74,1,233,233,0
234,-74,1,234,234,0
235,-74,1,235,235,0
236,-74,1,236,236,0
237,-74,1,237,237,0
238,-74,1,238,238,0
239,-74,1,239,239,0
240,-74,1,240,240,0
241,-74,1,241,241,0
242,-74,1,242,242,0
243,-74,1,243,243,0
244,-74,1,244,244,0
245,-74,1,245,245,0
246,-74,1,246,246,0
247,-74,1,247,247,0
248,-69,1,248,248,0
249,-69,1,249,249,0
250,-69,1,250,250,0
251,-69,1,251,251,0
252,-69,1,252,252,0
253,-69,1,253,253,0
254,-76,1,254,254,0
255,-76,1,255,255,0
256,-76,1,256,256,0
257,-76,1,257,257,0
258,-76,1,258,258,0
259,-76,1,259,259,0
260,-76,1,260,260,0
261,-76,1,261,261,0
262,-76,1,262,262,0
263,-73,1,263,263,0
264,-73,1,264,264,0
265,-73,1,265,265,0
266,-73,1,266,266,0
267,-73,1,267,267,0
268,-73,1,268,268,0
269,-73,1,269,269,0
270,-70,1,270,270,0
271,-70,1,271,271,0
272,-70,1,272,272,0
273,-70,1,273,273,0
274,-70,1,274,274,0
275,-70,1,275,275,0
276,-70,1,276,276,0
277,-70,1,277,277,0
278,-70,1,278,278,0
279,-70,1,279,279,0
280,-73,1,280,280,0
281,-73,1,281,281,0
282,-73,1,282,282,0
283,-73,1,283,283,0
284,-73,1,284,284,0
285,-73,1,285,285,0
286,-75,1,286,286,0
287,-75,1,287,287,0
288,-75,1,288,288,0
289,-75,1,289,289,0
290,-75,1,290,290,0
291,-75,1,291,291,0
292,-75,1,292,292,0
293,-81,1,293,293,0
294,-81,1,294,294,0
295,-81,1,295,295,0
296,-81,1,296,296,0
297,-81,1,297,297,0
298,-81,1,298,298,0
299,-75,1,299,299,0
300,-75,1,300,300,0
301,-75,1,301,301,0
302,-75,1,302,302,0
303,-75,1,303,303,0
304,-75,1,304,304,0
305,-75,1,305,305,0
306,-75,1,306,306,0
307,-75,1,307,307,0
308,-75,1,308,308,0
309,-83,1,309,309,0
310,-83,1,310,310,0
311,-83,1,311,311,0
312,-83,1,312,312,0
313,-83,1,313,313,0
314,-83,1,314,314,0
315,-83,1,315,315,0
316,-83,1,316,316,0
317,-83,1,317,317,0
318,-81,1,318,318,0
319,-81,1,319,319,0
320,-81,1,320,320,0
321,-81,1,321,321,0
322,-81,1,322,322,0
323,-81,1,323,323,0
324,-81,1,324,324,0
325,-81,1,325,325,0
326,-76,1,326,326,0
327,-76,1,327,327,0
328,-76,1,328,328,0
329,-76,1,329,329,0
330,-76,1,330,329,0
331,-76,1,331,329,0
332,-76,1,332,329,0
333,-76,1,333,333,0
334,-76,1,334,334,0
335,-76,1,335,335,0
336,-76,1,336,336,0
337,-76,1,337,337,0
338,-76,1,338,338,0
339,-76,1,339,339,0
